InstitutionIdentifier;InstitutionName;DepartmentIdentifier;DepartmentName
RG;;SHMI;UDGÅET 010816-Holberghus Midlertidlige ansættelser 
RG;;SHST;UDGÅET 010816-Holberghus Stella 
RG;;STAP;UDGÅET 010816-Holberghus TAP 
RG;;SHNA;UDGÅET 010816-Holberghus nattevagter 
RG;;SHTI;UDGÅET 010816-Holberghus vikarer, timelønnet 
RG;;SMSF;UDGÅET 010820-Mellerup Skoledel fastansatte 
RG;;SMSM;UDGÅET 010820-Mellerup Skoledel midlertidige 
RG;;SMSV;UDGÅET 010820-Mellerup Skoledel vikarer 
RG;;BBSK;UDGÅET 010917-Børnehaven Skovly 
RG;;ÆBFO;UDGÅET 010919-Bibliotek Formidling 
RG;;ÆBUF;UDGÅET 010919-Bibliotek Kommunikation 
RG;;ÆBLO;UDGÅET 010919-Bibliotek Logistik 
RG;;ÆBRE;UDGÅET 010919-Bibliotek Rengøring 
RG;;ÆBSE;UDGÅET 010919-Bibliotek Sekretariat 
RG;;BDGJ;UDGÅET 011016-Dagplejere - Gjerlev Hald og Mejlby 
RG;;EKSS;UDGÅET 011017-Eksterne skånejob 
RG;;ÆNEH;UDGÅET 011017-Omr NORD Harridslev mobil dag 
RG;;TRÅD;UDGÅET 011021-Rengøring 
RG;;ÆNBT;UDGÅET 050421-Omr NORD Bakkegården Rosenvænget Timel 
RG;;ÆNBA;UDGÅET 050421-Omr NORD Bakkegården aften - nat 
RG;;ÆNFA;UDGÅET 050421-Omr NORD Distrikt Bakkegården mobil af 
RG;;ÆNGA;UDGÅET 050421-Omr NORD Distrikt Møllevang mobil afte 
RG;;ÆNÆH;UDGÅET 050421-Omr NORD Møllebo - Rækkehuse  dag - hj 
RG;;ÆNMA;UDGÅET 050421-Omr NORD Møllevang  aften 
RG;;ÆNÅB;UDGÅET 050421-Omr NORD Åbakken B C F H 
RG;;ÆNÅT;UDGÅET 050421-Omr NORD Åbakken Timeløn 
RG;;ÆNÅD;UDGÅET 050421-Omr NORD Åbakken demens 
RG;;ÆNÅR;UDGÅET 050421-Omr NORD Åbakken rengøring  aften-nat 
RG;;ÆVUS;UDGÅET 050421-Omr VEST Fladbro ude 
RG;;ÆVUH;UDGÅET 050421-Omr VEST Flyvere ude 
RG;;ÆNGP;UDGÅET 2015-Omr NORD Spentrup - Møllevang mobil psyk 
RG;;BBNV;UDGÅET 2015-Vuggestuen Nyvang 
RG;;TKEN;UDGÅET 300915-Klima og Energi 
RG;;BKHU;UDGÅET 310715 Hadsundvejens Ungdomsskole 
RG;;BBFO;UDGÅET 310715-Bibliotek Formidling 
RG;;BBLO;UDGÅET 310715-Bibliotek Logistik 
RG;;BBSE;UDGÅET 310715-Bibliotek Sekretariat 
RG;;BBUF;UDGÅET 310715-Bibliotek Udvikling 
RG;;BGS2;UDGÅET 310715-Børnehuset Grøftekanten SFO 
RG;;BKFR;UDGÅET 310715-Fritidscentret 
RG;;BGS1;UDGÅET 310715-Gjerlev-Enslev Skole 
RG;;BHS1;UDGÅET 310715-Hadsundvejens Skole 
RG;;BHS2;UDGÅET 310715-Hadsundvejens Skole SFO 
RG;;BBIB;UDGÅET 310715-Kontering-Bibliotek 
RG;;BKUF;UDGÅET 310715-Kultur og Fritid 
RG;;BKKÆ;UDGÅET 310715-Kærsmindebadet 
RG;;BKMA;UDGÅET 310715-Malvinas Hus 
RG;;BKMØ;UDGÅET 310715-Museum Østjylland 
RG;;BNS1;UDGÅET 310715-Nyvangsskolen 
RG;;BNS2;UDGÅET 310715-Nyvangsskolen SFO 
RG;;BKMP;UDGÅET 310715-Projekt Museum Østjylland 
RG;;BKRM;UDGÅET 310715-Randers Musikskole 
RG;;BRS3;UDGÅET 310715-Rytterskolen 
RG;;BRS4;UDGÅET 310715-Rytterskolen SFO 
RG;;BVS3;UDGÅET 310715-Vorup Skole 
RG;;BVS4;UDGÅET 310715-Vorup Skole SFO 
RG;;BKVÆ;UDGÅET 310715-Værket 
RG;;BHS9;UDGÅET 311212-Hald-Kærby Skole 
RG;;ÆF95;UDGÅET-010217-Borgerstyret personlig assistance p 95 
RG;;ÆFHP;UDGÅET-010217-Pasning af nærtstående 
RG;;ÆFHD;UDGÅET-010217-Plejevederlag til pasning af døende 
RG;;BFQM;UDGÅET-010820-Firkløverskolen i Mørke 
RG;;BFQS;UDGÅET-010820-Firkløverskolen i Mørke SFO 
RG;;SDLØ;UDGÅET-Dagcentret Løvetand 
RG;;SGRG;UDGÅET-Den Grønne Gren 
RG;;BKSP;UDGÅET-Klub Spentrup 
RG;;SNYH;UDGÅET-Nyholm 
RG;;SUNB;UDGÅET-Ung Bostøtte 
RG;;BUKT;UDGÅET-Ungdomsskolen timelønnede klubmedarbejdere 
RG;;SUNG;UDGÅET-Ungegruppen 
RG;;BRKS;UDGÅET-Ungemiljøet Syd 
OI;;ZBLI;UDGÅET 010120-Lions Børnehus 
RG;;BYFV;Folkeafstemninger, medhjælpere 
RG;;BYRÅ;UDGÅET 010118-Byråd 
RG;;SLEF;Ledsagerordning - timeløn 
RG;;SDUS;Kontering-Drift og udv. SA 
RG;;BRKS;UDGÅET-Ungemiljøet Syd 
AI;Any-klubben;all;
AN;BPA, Servicelov Randers;all;
RJ;Servicelov, Randers;all;
CQ;UDGÅET 010118-LOF Langå;all;
OG;UDGÅET 010518-Fritidshjemmet Glentevej;all;
CQ;;ZLOF;UDGÅET 010118-LOF Langå 
OG;;ZBGF;UDGÅET 010518-Fritidshjemmet Glentevej 
RV;Servicelov Aflastning, Randers;all;
RW;Tabt arbejdsfortjeneste §87;all;
CP;Kronjyllands Jagtfor. Undervis.;all;
BX;Randers Kommune, Byråd og Eksterne;all;
BZ;Musisk Oplysn. Forbund Randers;all;
RG;;TELA;UDGÅET 010124-Erhverv og Bosætning 
RG;;SDPE;UDGÅET 010124-JCR SDP-Sygedagpenge 
RG;;SUP4;UDGÅET 010124-JCR UDV-Kontanthjælp 4-Personlig jobfo 
RG;;SUP3;UDGÅET 010124-JCR UDV-Kontanthjælp 3-Personlig jobfo 
RG;;BKVI;UDGÅET 010123-Kviktest BS 
RG;;SU1S;UDGÅET 010124-JCR UDV-Jobudvikling Team 1-Sagsbehand 
RG;;SURS;UDGÅET 010124-JCR UDV-Ressourceforløb-Sagsbehandler 
RG;;SU2S;UDGÅET 010124-JCR UDV-Jobudvikling Team 2-Sagsbehand 
RG;;SUS1;UDGÅET 010124-JCR UDV-Kontanthjælp 1-Sagsbehandler 
RG;;SDT1;UDGÅET 010124-JCR SDP-Team 1 
RG;;SDT2;UDGÅET 010124-JCR SDP-Team 2 
RG;;BFZL;UDGÅET 010123-Lystruplejren 
RG;;SJBS;UDGÅET 011022-JCR JOB-integration besk. sags 
RG;;SSEN;UDGÅET 010123-Kompensation seniorjob 
RG;;SDT3;UDGÅET 010124-JCR SDP-Team 3 
RG;;SJIL;UDGÅET 011022-JCR JOB-Integration-Ledelse 
RG;;SU1J;UDGÅET 010124-JCR UDV-Jobudvikling Team 1-Jobkonsule 
RG;;SURJ;UDGÅET 010124-JCR UDV-Ressourceforløb-Jobformidler 
